user_id,order_id
654,1
738,2
126,3
688,4
294,5
247,6
248,7
689,8
503,9
781,10
719,11
640,12
61,13
114,14
975,15
297,16
64,17
848,18
752,19
302,20
760,21
644,22
856,23
27,24
422,25
378,26
682,27
297,28
500,29
342,30
974,31
114,32
964,33
906,34
584,35
337,36
353,37
768,38
479,39
50,40
321,41
908,42
928,43
369,44
897,45
289,46
838,47
688,48
550,49
707,50
157,51
81,52
715,53
855,54
125,55
349,56
188,57
204,58
323,59
788,60
510,61
894,62
984,63
699,64
656,65
793,66
297,67
157,68
100,69
382,70
738,71
15,72
671,73
978,74
13,75
917,76
317,77
875,78
510,79
793,80
465,81
655,82
552,83
82,84
751,85
688,86
283,87
530,88
612,89
767,90
476,91
698,92
368,93
891,94
463,95
223,96
647,97
165,98
820,99
300,100
219,101
537,102
12,103
192,104
882,105
438,106
278,107
219,108
956,109
527,110
279,111
183,112
108,113
717,114
95,115
857,116
62,117
530,118
542,119
832,120
947,121
552,122
751,123
211,124
753,125
470,126
687,127
56,128
738,129
653,130
397,131
458,132
576,133
850,134
104,135
102,136
468,137
792,138
105,139
795,140
223,141
64,142
733,143
347,144
102,145
979,146
95,147
455,148
789,149
436,150
869,151
360,152
807,153
607,154
914,155
377,156
5,157
601,158
773,159
539,160
512,161
211,162
112,163
98,164
138,165
431,166
20,167
996,168
163,169
492,170
68,171
623,172
451,173
841,174
780,175
935,176
429,177
850,178
284,179
900,180
861,181
61,182
738,183
877,184
470,185
932,186
157,187
410,188
95,189
891,190
645,191
826,192
165,193
840,194
737,195
642,196
573,197
923,198
234,199
714,200
796,201
244,202
250,203
394,204
920,205
889,206
862,207
793,208
850,209
182,210
746,211
614,212
244,213
703,214
289,215
44,216
770,217
409,218
374,219
645,220
644,221
151,222
444,223
763,224
922,225
832,226
429,227
641,228
1000,229
519,230
241,231
684,232
176,233
858,234
120,235
986,236
318,237
3,238
479,239
347,240
281,241
526,242
375,243
262,244
33,245
951,246
217,247
999,248
926,249
183,250
907,251
17,252
633,253
679,254
742,255
164,256
355,257
458,258
206,259
588,260
520,261
621,262
488,263
225,264
899,265
613,266
49,267
722,268
17,269
538,270
418,271
422,272
355,273
300,274
143,275
807,276
970,277
686,278
525,279
774,280
422,281
552,282
780,283
69,284
72,285
634,286
788,287
666,288
716,289
738,290
670,291
